smiles,id-num,id,database,db_id,similarity,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,half_life_obach,ld50_zhu,lipophilicity_astrazeneca,ppbr_az,solubility_aqsoldb,vdss_lombardo,ames,bbb_martins,bioavailability_ma,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,herg,hia_hou,pgp_broccatelli,molecular_weight,formal_charge,clogp,heavy_atoms,h_bond_acceptors,h_bond_donor,rotatable_bonds,num_of_rings,molar_refractivity,number_of_atoms,topological_surface_area_mapping,vina_affinity
C1CCC(COc2c3c(nc[nH]3)nc(Nc3ccccc3)n2)CC1,0,Query Molecule,Query Molecule,-1,1.0,-4.670984745,45.17861557006836,54.645713806152344,13.74609661102295,2.314971446990967,3.1340537071228027,95.01004028320312,-4.831045628,2.803741455078125,0.763606071,0.9584185481071472,0.9999332427978516,0.0132711334154009,0.053884484,0.006940846,0.3687269985675812,0.8902353048324585,0.9832110404968262,0.9877653121948242,0.8950814008712769,0.9999836683273317,0.3529713749885559,323.17461029200007,0,4.055600000000002,24,5,2,5,4,93.47840000000004,24,75.72,-9.723
COc1ccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)cc1,1,MCULE-9267345670-DMCH,MCULE-FULL,2859418,0.86037,-4.907069206,125.6556396484375,85.58229064941406,9.612985610961914,2.4904496669769287,3.8299286365509033,98.0280303955078,-4.171349525,4.391521453857422,0.9663656949996948,0.972241759300232,0.9905415177345276,0.3654614686965942,0.9632819294929504,0.3358769118785858,0.9993124008178712,0.9056740999221802,0.9457454681396484,0.9297665953636168,0.9988102912902832,0.9998300075531006,0.9104108810424804,350.1742759,0,3.972900000000003,26,6,2,6,4,103.27840000000003,26,68.3,-9.253
COc1ccc(Nc2nc(NCC3CCCO3)nc3nccnc23)cc1,2,MCULE-1929796230-DMCH,MCULE-FULL,850507,0.85811,-5.073878765,98.65594482421876,86.47618865966797,9.577345848083496,2.7065627574920654,2.8567001819610596,95.46224212646484,-3.768959522,2.5231618881225586,0.9770286679267884,0.8583627343177795,0.912569523,0.067549832,0.8575578927993774,0.046942398,0.5046442151069641,0.9233254194259644,0.9942651391029358,0.9544968605041504,0.997584104537964,0.9995861649513244,0.6307371258735657,352.16477388000004,0,2.762900000000001,26,8,2,6,4,98.86840000000002,26,94.08,-8.989
COc1ccc(Nc2nc(NCC3CCCO3)nc3[nH]ncc23)cc1,3,MCULE-5297050451-DMCH,MCULE-FULL,2626547,0.85697,-5.150120735,82.24021911621094,50.55664825439453,30.87632942199707,2.680894374847412,2.595305919647217,93.09191895,-3.888721228,3.0464425086975098,0.7632548809051514,0.8376814126968384,0.9833622574806212,0.004055642,0.5669430494308472,0.0149407824501395,0.007125246,0.6919215321540833,0.9435477256774902,0.9076406359672546,0.9900049567222596,0.999947428703308,0.2866018414497375,340.16477388000004,0,2.6959999999999997,25,7,3,6,4,95.4241,25,96.98,-8.336
Cc1ccc(Nc2nc(NCC3CCCO3)nc(N)c2[N+](=O)[O-])cc1,4,MCULE-1873171734-DMCH,MCULE-FULL,757105,0.85546,-5.748669147,91.01739501953124,47.853797912597656,1.398609638214111,2.752227783203125,2.334308147,89.37606811523438,-4.29945755,3.602774858474731,0.9984789490699768,0.580497682,0.9949542880058287,0.005469334,0.228690967,0.000575789,0.009018575,0.2551079392433166,0.3889150619506836,0.9990436434745787,0.5920306444168091,0.9972971081733704,0.004047622,344.15968849999996,0,2.60992,25,8,3,6,3,95.02420000000002,25,128.23000000000002,-8.761
Cc1ccc(Nc2nc(NCCCO)c3ccccc3n2)cc1,5,MCULE-2490882448-DMCH,MCULE-FULL,1108550,0.8505,-5.295095444,82.35877227783203,88.50718688964844,6.727978229522705,2.7511415481567383,2.2784523963928223,93.92029571533205,-4.565696239,3.6015350818634033,0.9966683983802797,0.996556282,0.9999219179153442,0.001484011,0.0242071077227592,0.2120286077260971,0.1045240610837936,0.077599086,0.3443852663040161,0.9085770845413208,0.9880895018577576,0.9998168349266052,0.1668564230203628,308.1637113,0,3.4761200000000017,23,5,3,6,3,94.19220000000004,23,70.07000000000001,-8.789
c1ccc(-c2cc(NCC3(Cn4cccn4)CC3)n3nccc3n2)cc1,6,MCULE-4642859590-DMCH,MCULE-FULL,1936769,0.85017,-4.657654762,58.30420684814453,56.00725936889648,4.256641864776611,2.703434705734253,3.7267167568206783,99.38786315917967,-3.530632496,1.7670667171478271,0.986613929,0.9993451237678528,0.9991675615310668,0.003517622,0.2462920844554901,0.2673200368881225,0.7334948778152466,0.019455587,0.9996360540390016,0.9151067733764648,0.9797636270523072,0.9994127750396729,0.8615574240684509,344.1749446,0,3.485100000000002,26,6,1,6,5,100.80670000000002,26,60.040000000000006,-8.598
OCCCNc1nc(Nc2ccc(F)cc2)nc2ccccc12,7,MCULE-6485309263-DMCH,MCULE-FULL,1106948,0.84921,-5.330180168,94.80940246582033,60.81721115112305,9.295784950256348,3.013427495956421,2.5157551765441895,85.92105102539062,-4.798383236,1.7375797033309937,0.9144792556762696,0.9998039603233336,0.9999804496765136,0.001290877,0.0102499322965741,0.091083184,0.406870424747467,0.0295274946838617,0.3443450629711151,0.9140877723693848,0.9907339811325072,0.9998168349266052,0.4665498733520508,312.13863938400004,0,3.306800000000001,23,5,3,6,3,89.41320000000003,23,70.07,-8.784
CCCCNc1nc(Nc2ccccc2O)c2cnn(C)c2n1,8,MCULE-9192195625-DMCH,MCULE-FULL,21567305,0.84561,-5.15803194,73.3507309,42.08039093017578,2.454303503036499,2.53650426864624,3.0126683712005615,86.81304931640625,-4.023031235,1.751222014427185,0.8726514577865601,0.1556262969970703,0.999189794063568,0.033402141,0.4625995457172394,0.079455301,0.056883875,0.9950386881828308,0.2529616355895996,0.7713176608085632,0.7935655117034912,0.9999507665634156,0.009209963,312.1698593,0,3.0245000000000006,23,7,3,6,3,91.09120000000004,23,87.89,-8.201
OCCCNc1nc(Nc2ccc(O)cc2)nc2ccccc12,9,MCULE-7723689811-DMCH,MCULE-FULL,1106207,0.84532,-5.530218601,73.57668304,57.999637603759766,9.521861076,2.682882308959961,1.7556354999542236,89.11417388916016,-4.063969135,2.425001621246338,0.9942869544029236,0.9944942593574524,0.996772826,0.00767142,0.004861935,0.1165786534547805,0.8672337532043457,0.2105559110641479,0.9868109822273254,0.950038493,0.7507210969924927,0.9998276233673096,0.2934325337409973,310.1429758,0,2.8733000000000004,23,6,4,6,3,91.12000000000003,23,90.3,-8.829
CN(C)CCCNc1nc(Nc2ccc(F)cc2)c2nccnc2n1,10,MCULE-5744702363-DMCH,MCULE-FULL,2232459,0.84236,-4.660119534,45.24351883,0.2474647611379623,31.928956985473633,2.5896239280700684,1.7953450679779053,87.61450195,-2.865943432,4.812921047210693,0.883328915,0.9802811741828918,0.9942315816879272,0.0276927035301923,0.006794065,0.6793181300163269,0.9900934100151062,0.885210395,0.0310711935162544,0.8633880019187927,0.9992536902427672,0.9996708631515504,0.2198591977357864,341.17642186000006,0,2.6661,25,7,2,7,3,96.47140000000005,25,78.86,-8.368
OCCCNc1nc(Nc2ccccc2O)nc2ccccc12,11,MCULE-2305504093-DMCH,MCULE-FULL,1120787,0.84151,-5.564216614,57.06370162963867,63.23592376708984,2.895355463027954,2.71789026260376,1.9775036573410032,86.94390869140625,-4.132426262,1.683442473,0.97978538274765,0.9344980716705322,0.999284565,0.055832677,0.003182978,0.2233758866786956,0.8781046867370605,0.8363701105117798,0.959433377,0.976702869,0.687711239,0.9998795986175536,0.0146306697279214,310.1429758,0,2.8733000000000004,23,6,4,6,3,91.12000000000003,23,90.3,-8.898
CCCCNc1nc(Nc2ccccc2)c2cnn(C)c2n1,12,MCULE-7232329539-DMCH,MCULE-FULL,781263,0.84139,-4.616745472,84.81639862060547,74.26606750488281,2.0561187267303467,2.497570753097534,3.336796522140503,91.0575714111328,-4.192458153,3.397853374481201,0.9168214201927184,0.9610568881034852,0.9979141354560852,0.042637564,0.4467529654502868,0.3580255210399627,0.7975752949714661,0.9900500774383544,0.021431615576148,0.7908583879470825,0.7717844843864441,0.9999490976333618,0.004364203,296.1749446,0,3.318900000000001,22,6,2,6,3,89.42640000000004,22,67.66,-8.405
c1ccc(Nc2nc(NCCN3CCOCC3)nc3nccnc23)cc1,13,MCULE-8191302579-DMCH,MCULE-FULL,850440,0.84135,-5.090882778,42.541744232177734,55.762481689453125,2.5121853351593018,2.701695442199707,2.0258231163024902,81.14256286621094,-3.260700464,3.803985595703125,0.8141537308692932,0.9360246658325196,0.2939446568489074,0.003931219,0.3661953508853912,0.1168714612722396,0.920837402,0.9448134303092957,0.9294629693031312,0.9577503800392152,0.994436264038086,0.9998430013656616,0.0324766710400581,351.18075829200006,0,1.9074999999999993,26,8,2,6,4,100.60140000000004,26,88.09,-8.981
Cc1cc(O)ccc1Nc1nc(NCCCN(C)C)nc2c1cnn2C,14,MCULE-8764036760-DMCH,MCULE-FULL,21601056,0.8407,-5.428791046,57.03834533691406,53.69015121459961,27.841339111328125,2.543865442276001,2.069469690322876,80.49528503417969,-3.681332111,1.9093670845031736,0.906366527080536,0.887175977,0.970640242,0.009245178,0.0105949835851788,0.6416099667549133,0.4859586656093597,0.9820175766944884,0.9161863923072816,0.2044001370668411,0.9966202974319458,0.9994062185287476,0.062154602,355.21205842000006,0,2.48452,26,8,3,7,3,104.09120000000004,26,91.13,-8.938
COCCCNc1nc(Nc2ccccc2)c2cnn(C)c2n1,15,MCULE-6327639477-DMCH,MCULE-FULL,781326,0.8388,-4.533277512,76.00664520263672,22.431406021118164,31.955324172973633,2.3697915077209473,3.043926477432251,84.55497741699219,-3.726907492,3.867180109024048,0.9945632815361024,0.9980858564376832,0.999863863,0.008538169,0.0235831309109926,0.1385300755500793,0.0224121212959289,0.994775891304016,0.036146183,0.6581814289093018,0.9917070269584656,0.9998983144760132,0.1141987219452858,312.1698593,0,2.555300000000001,23,7,2,7,3,91.01140000000004,23,76.89,-8.044
COc1cccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c1,16,MCULE-4096793652-DMCH,MCULE-FULL,2859417,0.83837,-4.852978706,149.40406799316406,112.07794189453124,30.383834838867188,2.4565019607543945,3.809371233,98.63816833496094,-4.074495792,7.242479324,0.9819183349609376,0.9944895505905152,0.9989468455314636,0.2325545251369476,0.980406939983368,0.3348852097988128,0.999150276,0.9080045223236084,0.989769459,0.9202696084976196,0.999859095,0.9997305274009703,0.9257332682609558,350.1742759,0,3.972900000000003,26,6,2,6,4,103.27840000000003,26,68.3,-9.393
COCCNc1nc(Nc2ccccc2O)c2cnn(C)c2n1,17,MCULE-7401100849-DMCH,MCULE-FULL,21571949,0.83821,-5.098735332,41.19334793,24.02265167236328,0.8528879880905151,2.372392416000366,2.3388514518737793,83.78978729248047,-3.161512375,1.2447205781936646,0.8022158145904541,0.3668738305568695,0.997723401,0.0168188977986574,0.016425481,0.004511639,0.0113772843033075,0.6599709391593933,0.3400372564792633,0.831943929,0.9306100010871888,0.9998633861541748,0.007716923,314.14912381600004,0,1.8707999999999996,23,8,3,6,3,88.05920000000003,23,97.12,-8.278
OCCCNc1nc(Nc2ccc(F)cc2F)nc2ccccc12,18,MCULE-6303663863-DMCH,MCULE-FULL,1125097,0.83734,-5.309436321,62.59202194213867,62.81828308105469,3.706174612045288,2.97156024,2.960967779159546,85.6722641,-4.517208576,2.696359395980835,0.5263115763664246,0.9994670748710632,0.9999871253967284,0.0164361074566841,0.017790703,0.095379882,0.9033796191215516,0.004876637,0.945987105369568,0.9030171632766724,0.9575667977333068,0.9998193383216858,0.007540526,330.1292176,0,3.445900000000001,24,5,3,6,3,89.3712,24,70.07,-9.001
COCCCNc1nc(Nc2ccc(C)cc2O)c2cnn(C)c2n1,19,MCULE-7642096118-DMCH,MCULE-FULL,21586341,0.83717,-5.194728374,55.20330810546875,48.14693832397461,12.753094673156738,2.5169472694396973,2.2492854595184326,89.85954284667969,-3.489540815,3.344787836074829,0.1999428123235702,0.8422561287879944,0.9979616403579712,0.008988805,0.0179824959486722,0.038274013,0.031175816,0.9127392768859864,0.7790857553482056,0.3333211839199066,0.9886713027954102,0.998416304588318,0.0280987527221441,342.18042394400004,0,2.5693200000000003,25,8,3,7,3,97.41320000000005,25,97.12,-8.162
CCc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1,20,MCULE-1922032088-DMCH,MCULE-FULL,1111207,0.8367,-5.398722172,86.30460357666016,94.30015563964844,13.673269271850586,2.587620735168457,2.458264112472534,93.55635833740234,-3.629969597,4.478377819061279,0.7397712469100952,0.9879546165466307,0.9998087286949158,0.010569266,0.036206126,0.066140488,0.6156681776046753,0.562678337,0.1155780777335167,0.954941452,0.987598717,0.9998663663864136,0.1197829097509384,308.1637113,0,3.3400000000000016,23,5,3,6,3,94.21620000000004,23,70.07000000000001,-8.876
