smiles,id-num,id,database,db_id,similarity,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,half_life_obach,ld50_zhu,lipophilicity_astrazeneca,ppbr_az,solubility_aqsoldb,vdss_lombardo,ames,bbb_martins,bioavailability_ma,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,herg,hia_hou,pgp_broccatelli,molecular_weight,formal_charge,clogp,heavy_atoms,h_bond_acceptors,h_bond_donor,rotatable_bonds,num_of_rings,molar_refractivity,number_of_atoms,topological_surface_area_mapping
CC(C)CCNc1nc(Nc2cccc(C#N)c2)c2cnn(C)c2n1,194,MCULE-4042528572-DMCH,MCULE-FULL,21581667,0.82126,-5.054027557,78.26822662353516,77.10274505615234,8.559679985046387,2.3981881141662598,3.0727086067199707,88.18249512,-3.449715853,3.6229472160339355,0.9966899156570435,0.9579886198043823,0.9940271377563477,0.004219511,0.408775657,0.047935161739587784,0.084329642,0.9844724535942078,0.8454092741012573,0.5617012977600098,0.7113211750984192,0.9992920160293579,0.086932644,335.1858436720001,0,3.436580000000001,25,7,2,6,3,98.68840000000006,25,91.45
Cc1ccc(Nc2nc(NCc3ccco3)nc(N)c2[N+](=O)[O-])cc1,195,MCULE-8351430073-DMCH,MCULE-FULL,534209,0.82123,-5.390267372,93.86955261230469,56.38972473144531,1.4709151983261108,2.4711573123931885,2.826709508895874,96.19658660888672,-4.093772411,2.544048786,0.9996501207351685,0.11662164330482483,0.9994858503341675,0.048406158,0.5548903942108154,7.839474710635841e-05,0.008296509,0.901688278,0.30477291345596313,0.9999157190322876,0.11250270158052444,0.9975889921188354,0.000621472,340.12838837199996,0,3.224120000000001,25,8,3,6,3,93.5952,25,132.14000000000001
Cn1ncc2c(Nc3ccc(F)cc3)nc(NCCCNC=O)nc21,196,MCULE-9962971540-DMCH,MCULE-FULL,21598392,0.82119,-5.442863464,12.057356834411621,25.110149383544922,42.88505172729492,2.570788621902466,2.0923237800598145,81.70872497558594,-3.650836945,1.473321795463562,0.9415848851203918,0.8670831322669983,0.9868944883346558,0.019391365349292755,0.40891170501708984,0.015374211,0.7211877703666687,0.7280980944633484,0.8886277675628662,0.9497699737548828,0.9885204434394836,0.9992974996566772,0.005639231,343.1556864,0,1.7939999999999996,25,7,3,8,3,93.16010000000003,25,96.76
Cc1ccc(C)c(Nc2nc(NCCN3CCOCC3)nc3nccnc23)c1,197,MCULE-7318291176-DMCH,MCULE-FULL,850532,0.82118,-5.444005966,46.45003128051758,56.151947021484375,8.005957603,2.8908214569091797,2.2157344818115234,82.93556976,-3.167415619,2.8722000122070312,0.32316872477531433,0.963400126,0.9975860118865967,0.013295563869178295,0.031194688752293587,0.33085769414901733,0.6738840341567993,0.9983781576156616,0.994899571,0.8476419448852539,0.9969953298568726,0.9999523162841797,0.7124383449554443,379.21205842000006,0,2.5243400000000005,28,8,2,6,4,110.07540000000003,28,88.09
Cc1ccc(Nc2cc(C)nc(N(C)CCc3ccncc3)n2)cc1,198,MCULE-6318589281-DMCH,MCULE-FULL,6354697,0.82118,-4.905847073,80.77553558,38.31096267700195,15.301010131835938,3.1589720249176025,2.3974502086639404,90.37854766845703,-2.982914686,8.318527221679688,0.8892459869384766,0.9884933829307556,0.9978353381156921,0.047217976,0.00082368,0.5265563130378723,0.9983286261558533,0.9153074622154236,0.6505519151687622,0.941453755,0.9986825585365295,0.9995450377464294,0.939227819,333.19534573600004,0,3.9109400000000027,25,5,1,6,3,102.44170000000003,25,53.940000000000005
Cc1ccc(Nc2ncc([N+](=O)[O-])c(NCc3ccccc3)n2)cc1,199,MCULE-6994577022-DMCH,MCULE-FULL,21741520,0.82117,-5.172026157,85.58990478515625,83.76224517822266,8.962684631347656,2.554751158,3.793416738510132,97.25418853759766,-5.696258545,1.7979310750961304,0.9929973483085632,0.9533552527427673,0.9999876022338867,0.1561746597290039,0.9308757185935974,0.000809551,0.020894773304462433,0.3488650321960449,0.5037558078765869,0.9991063475608826,0.016725527122616768,0.9973629117012024,0.25282520055770874,335.13822478400004,0,4.048920000000002,25,6,2,6,3,96.91680000000001,25,92.98
CC(C)CCNc1nc(Nc2cccc(F)c2)c2cnn(C)c2n1,200,MCULE-9497978931-DMCH,MCULE-FULL,21581612,0.82115,-4.904978275,82.74074554,58.04951477050781,23.997255325317383,2.5386435985565186,2.909285784,94.16394805908203,-3.661216974,6.384307861328125,0.8961261510848999,0.9600443243980408,0.9982240796089172,0.011462959460914135,0.10392041504383087,0.21456658840179443,0.078090504,0.944122851,0.18728196620941162,0.4929170310497284,0.9633850455284119,0.9999361038208008,0.030981648713350296,328.18117289200006,0,3.7040000000000015,24,6,2,6,3,93.93140000000004,24,67.66
Cc1ccccc1Nc1nc(NCCCN(C)C)nc2c1cnn2C,201,MCULE-7415938133-DMCH,MCULE-FULL,21600786,0.82114,-4.93855238,55.11067581176758,51.04810715,30.44546127319336,2.7072975635528564,2.4080469608306885,82.05244445800781,-3.36253643,2.171851396560669,0.8598240613937378,0.9987248778343201,0.9618709087371826,0.06369932,0.18157972395420074,0.46854203939437866,0.9513404369354248,0.9984645843505859,0.03481853,0.4203326106071472,0.9986588954925537,0.9994584918022156,0.6416572332382202,339.21714380000003,0,2.778920000000001,25,7,2,7,3,102.42640000000004,25,70.9
Cc1cc(O)ccc1Nc1nc(NCCC(C)C)nc2c1cnn2C,202,MCULE-7988937315-DMCH,MCULE-FULL,21581805,0.8211,-5.421287537,70.84516143798828,67.73061371,4.279896259307861,2.6927125453948975,2.887648344039917,94.70441436767578,-3.719682455,1.8899898529052734,0.8739362955093384,0.9525880813598633,0.9643670916557312,0.00660521,0.288474441,0.13723507523536682,0.16835902631282806,0.9993687272071838,0.9394223093986511,0.26310211420059204,0.9761697053909302,0.9996132254600525,0.057616833597421646,340.20115938800006,0,3.578920000000002,25,7,3,6,3,100.37520000000004,25,87.88999999999999
Cc1ccc(Nc2nc(NCCOC(C)C)nc3c2cnn3C)cc1,203,MCULE-1671271397-DMCH,MCULE-FULL,21603197,0.82107,-4.947954178,78.93525695800781,122.9810562133789,33.99475098,2.6510984897613525,2.7611186504364014,90.86660766601562,-4.239053249,3.0824601650238037,0.9361107349395752,0.9983682036399841,0.9951325058937073,0.092787996,0.49321624636650085,0.21811005473136902,0.047130786,0.9959040284156799,0.7935449481010437,0.347526491,0.9998650550842285,0.9996607303619385,0.0514911,340.2011594,0,3.252220000000001,25,7,2,7,3,100.34340000000005,25,76.89000000000001
